Universe, creation|Вселенная, создание
crag, rocky outcropping, boulder, rock, stone, pebble, gravel, sand, grit, powder|скалы, скалистые обнажения, валун, рок, камень, галька, гравий, песок, гравий, порошок
(3) What types of rocks are there?|(3) Какие типы пород есть?
granite, sedimentary, igneous, metamorphic, pumice, shale, quartz, flint, marble, slate, chalk, sandstone|гранит, осадочные, магматические, метаморфические, пемза, сланцы, кварц, кремень, мрамор, сланец, мел, песчаник
(4) What words describe rocks?|(4) Какие слова описывают камни?
hard, soft, sharp, smooth|твердые, мягкие, острые, гладкие
(5) What words describe ground with lots of rocks in it?|(5) Какие слова описывают землю с большим количеством пород в нем?
rocky, stony|скалистый, галечный
(6) What words refer to a piece of rock?|(6) Какие слова относятся к части скалы?
block, slab|блок, горбыль
Metal|Металл
Use this domain for words referring to metal.|Используйте этот домен для слов, относящихся к металлу.
(1) What general words refer to metal?|(1) Что общего слова относятся к металлу?
metal, metallic|металл, металлические
(2) What types of metal are there?|(2) Какие типы металла есть?
aluminum, barium, brass, bronze, chrome, chromium, copper, gold, iron, lead, lithium, magnesium, mercury, molybdenum, nickel, platinum, quicksilver, radium, silver, steel, tin, titanium, tungsten, uranium, zinc|алюминий, барий, латунь, бронза, хром, хром, медь, золото, железо, свинец, литий, магний, ртуть, молибден, никель, платина, ртуть, радий, серебро, сталь, олово, титан, вольфрам, уран, цинк
(3) What words describe metal?|(3) Какие слова описывают металл?
shiny, luster, malleable, rust, rusty, tarnish, corrode, golden, silvery, polished, alloy, pure, karat, solid, plated|блестящие, блеск, податливый, ржавчина, ржавый, тускнеет, коррозии, золотой, серебристый, полированный, сплав, чистый, каратного, твердый, позолоченный
(4) What words refer to a piece of iron that attracts other pieces of iron?|(4) Какие слова относятся к железке, что привлекает другие железки?
magnet, magnetic, magnetism, lodestone|магнит, магнитная, магнетизм, магнитом
Mineral|Минеральная
Use this domain for naturally occurring elements, compounds, and minerals--things you can find in the ground.|Используйте этот домен для естественных элементов, соединений и минералов - вещи, которые вы можете найти в земле.
(1) What general words refer to minerals?|(1) Что общего слова относятся к минералам?
mineral, mineral resources, element, chemical, atom, crystal, ore|минеральные, минеральные ресурсы, элемент, химической, атом, кристалл, руды
(2) What types of minerals are there?|(2) Какие виды полезных ископаемых есть?
bauxite, borax, brimstone, calcium, carbon, coal, coke, feldspar, gypsum, limestone, magnetite, mica, nitrate, peat, phosphate, phosphorus, pitch, pitchblende, potash, potassium, pyrite, salt, saltpeter, silica, soda, sulfur, talc, tar|бокситы, буры, серу, кальций, углерод, уголь, кокс, полевой шпат, гипс, известь, магнетит, слюда, нитрат, торф, фосфат, фосфор, шаг, настуран, поташ, калий, пирит, соль, селитра, кремнезем, сода, серы, тальк, смолы
(3) What words refer to the study of minerals?|(3) Какие слова относятся к изучению минералов?
mineralogy, mineralogist|минералогия, минералог
(4) What words refer to the formation of minerals?|(4) Что слова относятся к образованию минералов?
mineralize, calcify, petrify, vitrify|минерализирует, известь, оцепенение, витрификации
Jewel|Драгоценность
Use this domain for words referring to jewels and precious stones.|Используйте этот домен для слов, относящихся к драгоценности и драгоценные камни.
(1) What general words refer to jewels?|(1) Что общего слова относятся к драгоценности?
jewel, precious stone, birthstone, crystal, gem, gemstone|камень, драгоценный камень, Камень, стекло, камень, драгоценный камень
(2) What types of jewels are there?|(2) Какие типы камней есть?
agate, amethyst, beryl, carnelian, chalcedony, chrysolite, chrysoprase, diamond, emerald, garnet, ivory, jacinth, jasper, marble, onyx, pearl, quartz, ruby, sapphire, sardonyx, topaz|агат, аметист, хризолит, сердолик, халцедон, хризолит, хризопраз, алмаз, изумруд, гранат, слоновая кость, гиацинт, яшма, мрамор, оникс, жемчуг, кварц, рубин, сапфир, сардоникс, топаз
(3) What words describe jewels?|(3) Какие слова описывают драгоценности?
precious, semiprecious, facet, glitter, sparkle, lustrous|драгоценные, полудрагоценные, грань, блеск, блеск, блестящий
Solid, liquid, gas|Твердые, жидкие и газообразные
Use this domain for words describing the different states of matter (solid, liquid, and gas), and words for changing from one to another.|Используйте этот домен для слов, описывающих различные состояния материи (твердое, жидкое и газ), и слова для изменения от одного к другому.
(1) What words describe the states of matter?|(1) Какие слова описывают состояния вещества?
solid, liquid, gas|твердое, жидкое, газ
(2) What words describe the states of water?|(2) Какие слова описывают состояния воды?
ice, water, steam|льда, воды, пара
(3) What words refer to solids changing into liquids?|(3) Какие слова относятся к твердым меняющихся в жидкости?
melt, melted, melt down, molten, thaw, liquefy, soften, dissolve, soluble|расплава, растаял, растопить, расплавленный оттепель, жидкое, смягчить, растворить растворимый
(4) What words refer to liquids changing into solids?|(4) Какие слова относятся к жидкостям меняющихся в твердых телах?
solidify, harden, dry, bake, freeze, thicken, stiffen, set, jell, gel, clot, coagulate, coagulation, congeal, crystallize, crystallization, precipitate, precipitation, curdle|укрепить, твердеют, сухой, выпекать, замораживание, утолщаются, застывают, установить, желе, гель, сгусток, коагуляции, коагуляции, застыть, кристаллизуются, кристаллизация, осадок, осаждение, свернется
(5) What words refer to gases changing into liquids?|(5) Какие слова относятся к газам, меняющихся в жидкости?
condense, condensation, dew, distill|конденсируются, конденсат, роса, перегонять
(6) What words refer to liquids changing into gases?|(6) Какие слова относятся к жидкостям меняющихся в газы?
boil, evaporate, evaporation, vaporize, steam|кипения, испаряется, испарение, испарение, пар
(7) What words refer to the temperature at which things change?|(7) Какие слова относятся к температуре, при которой все меняется?
melting point, freezing point, dew point, boiling point|Точка плавления, точка замерзания, точка росы, температура кипения
Liquid|Жидкость
Use this domain for words referring to liquids.|Используйте этот домен для слов, относящихся к жидкостям.
(1) What general words refer to liquid?|(1) Что общего слова относятся к жидкости?
liquid, fluid, moisture|жидкость, жидкости, влаги
(2) What words describe something that is liquid?|(2) Какие слова описывают то, что жидкое?
liquid (adj), molten|жидкость (прил), расплавленный
(3) What words describe liquids?|(3) Какие слова описывают жидкости?
liquid (state), juicy, wet|жидкость (состояние), сочная, мокрая
(4) What words describe a liquid that is almost solid?|(4) Какие слова описывают жидкость, почти твердое?
thick, stiff, creamy, smooth, lumpy, viscid, viscous, paste, concentrated|толстая, жесткая, сливочный, гладкий, кусковых, вязкая вязкая, паста, сосредоточены
(5) What words refer to making a liquid thicker?|(5) Какие слова относятся к созданию жидкость толще?
thicken, concentrate|утолщаются, сосредоточиться
(6) What words refer to becoming thicker?|(6) Какие слова относятся к становлению толще?
thicken, get thicker, set, congeal, clot|утолщаются, становятся толще, установить, застыть, сгусток
(7) What words refer to how thick or thin a liquid is?|(7) Какие слова относятся к тому, как толстый или тонкий жидкость?
thickness, consistency, viscosity|толщина, консистенция, вязкость
(8) What words describe a liquid that is very fluid?|(8) Какие слова описывают жидкость, которая является очень жидкости?
fluid, watery, thin, runny, diluted|жидкости, водянистый, тонкий, насморк, разбавляют
(9) What words refer to making a liquid thinner?|(9) Какие слова относятся к созданию жидкого тоньше?
dilute|разбавлять
(10) What words refer to the top of a liquid?|(10) Какой слова относятся к верхней части жидкости?
surface|поверхность
(11) What words refer to the thick part that can form on the top of a liquid?|(11) Какие слова относятся к толстой части, которые могут образовывать на верхней части жидкости?
skin, scum, crust, slime, slimy,|кожа, сволочь, кора, слизь, слизистая,
(12) What words refer to removing the thick part on top?|(12) Какие слова относятся к удалению толстой части на вершине?
skim|снимать
(13) What words describe a liquid with lumps in it?|(13) Какие слова описывают жидкость с комками в нем?
lumpy, smooth|комом, гладкая
(14) What words refer to bubbles in or on a liquid?|(14) Какие слова относятся к пузырей или на жидкости?
bubble (n), bubble (v), bubbly, suds, foam|пузырь (п), пузырь (v), бисерные, пены, пены
Oil|Масло
Use this domain for words referring to oil.|Используйте этот домен для слов, относящихся к нефти.
(1) What general words refer to oil?|(1) Что общего слова относятся к нефти?
oil, grease, lubricant|масла, смазки, смазки
(2) What types of oil are there?|(2) Какие типы масла есть?
petroleum, petrol, gasoline, gas, diesel, kerosene, paraffin, crude oil, mineral oil, ointment, liniment, lotion, Vaseline, glycerin|нефть, бензин, бензин, газ, дизельное топливо, керосин, парафин, сырая нефть, минеральное масло, мазь, линимент, лосьон, вазелин, глицерин
(3) What types of oil are made from plants and animals?|(3) Какие масла изготовлены из растений и животных?
vegetable oil, cream, lard, fat, wax, tallow, beeswax, soap|растительное масло, сливки, сало, жир, воск, жир, воск, мыло
(4) What words describe oil?|(4) Какие слова описывают масло?
oily, greasy, slippery, slick, slimy, smooth, lubricating, fatty, gummy, mucous, soapy|жирной, жирной, скользкой, пятно, скользкий, гладкий, смазки, жирных, смолистый, слизистой мыльной
(5) What words refer to some oil on something?|(5) Какие слова относятся к какой-то масла на что-то?
drop of oil, oil slick, blob, glob, soap (v)|капля масла, масляного пятна, BLOB, Глоб, мыло (v)
(6) What words refer to putting oil on something?|(6) Какие слова относятся к успеху масло на что-то?
lubricate, lubrication, lube, oil (v), anoint, rub, salve, slick, smear, grease (v)|Смажьте, смазки, смазочных, масло (v), помажь, руб, мазь, ловкий, мазка, смазки (v)
Gas|Газ
Use this domain for words referring to gas.|Используйте этот домен для слов, относящихся к газу.
(1) What general words refer to gas?|(1) Что общего слова относятся к газу?
gas, gaseous, vapor, mist, air, fume, steam, steamy, cloud (of gas), plume (of steam)|бензин, газ, пар, туман, воздух, дым, пар, испаряющийся, облако (газа), шлейф (пара)
(2) What types of gas are there?|(2) Какие типы газа есть?
natural gas, oxygen, carbon dioxide, ozone, hydrogen, nitrogen, helium, neon|природный газ, кислород, двуокись углерода, озон, водород, азот, гелий, неон
(3) What words describe gas?|(3) Какие слова описывают газ?
noxious (fumes), poisonous gas|вредные газы (), ядовитый газ
(4) What words refer to the production of gas?|(4) Что слова относятся к производству газа?
produce gas, give off fumes|добывать газ, выделяют пары
(5) What words refer to the movement of gas?|(5) Какие слова относятся к движению газа?
spread, drift, creep along the ground, vapor trail, rise|распространение, дрейф, ползучести по земле, инверсионный след, рост
Water|Вода
Use this domain for general words referring to water.|Используйте этот домен для общих слов, относящихся к воде.
(1) What general words refer to water?|(1) Что общего слова относятся к воде?
water, H2O, moisture|Вода, H2O, влаги
(2) What words describe something that belongs to the water or is found in water?|(2) Какие слова описывают то, что принадлежит к воде или в воде нашли?
watery, aquatic, amphibious|водянистый, водные, амфибии
(3) What words describe something that water cannot pass through?|(3) Какие слова описывают то, что вода не может пройти?
waterproof, watertight|непромокаемая, водонепроницаемая
Bodies of water|Водоемы
Use this domain for general words referring to bodies of water.|Используйте этот домен для общих слов, относящихся к водоемах.
(1) What general words refer to a body of water?|(1) Что общего слова относятся к телу воды?
body of water, hydrosphere|водоем, гидросферы
(2) What words describe something belonging to the water?|(2) Какие слова описывают то, принадлежащее к воде?
marine, oceanic, riverine|морской, океанической, речной
Ocean, lake|Океан, озеро
Use this domain for words referring to bodies of standing water.|Используйте этот домен для слов, относящихся к органам стоячей воде.
(1) What words refer to bodies of standing water of different sizes?|(1) Какие слова относятся к органам стоячей воде различных размеров?
ocean, sea, lake, pond, pool, puddle, wallow|океан, море, озеро, пруд, бассейн, лужа, валяться
(2) What words refer to a man-made lake?|(2) Какие слова относятся к искусственному озеру?
reservoir, man-made lake, catchment area|водохранилище, искусственное озеро, площадь водосбора
(3) What are the parts of bodies of water?|(3) Каковы части водоемов?
surface, bottom, abyssal depths, abyssal plain, thermal layer, seamount, continental shelf, shallows, the depths, the deep, open sea|Поверхность, снизу, глубинные недра, глубинная равнина, тепловой слой, подводная гора, континентальный шельф, отмели, глубины, глубоко, открытое море
(4) What words refer to the study of the ocean?|(4) Какие слова относятся к изучению океана?
oceanography|океанография
Swamp|Болото
Use this domain for words referring to bodies of standing water with plants growing in them.|Используйте этот домен для слов, относящихся к органам стоячей воды с растений, произрастающих в них.
(1) What words refer to shallow bodies of standing water with plants growing in them?|(1) Какие слова относятся к мелководных стоячей воды с растений, растущих в них?
swamp, swampland, wetland, marsh, marshland, bog, delta, estuary, bayou, morass|болото, болото, водно-болотных угодий, болота, болота, болота, дельта, устье, старица, болото
(2) What words describe an area that is a swamp?|(2) Какие слова описывают область, которая является болото?
swampy, marshy, boggy|болотистая, болотистая, заболоченная
(3) What words refer to moving through a swamp?|(3) Какие слова относятся к перемещению через болото?
get bogged down, sink|увязнуть, раковина
River|Река
Use this domain for words referring to bodies of flowing water.|Используйте этот домен для слов, относящихся к органам проточной водой.
(1) What words refer to rivers of different sizes?|(1) Какие слова относятся к рекам разных размеров?
river, stream, streamlet, creek, brook, brooklet, rill, rivulet|река, ручей, ручеек, ручей, ручей, ручеек, ручеек, ручеек
(2) What words refer to a river when it has a lot of water?|(2) Какие слова относятся к реке, когда она имеет много воды?
flood, torrent, flash flood, freshet, swell, surge|наводнение, торрент, внезапное наводнение, паводок, зыбь, волны
(3) What words refer to a river overflowing its banks?|(3) Какие слова относятся к реке переполнены свои банки?
overflow its banks, flood, deluge|выходит из берегов, наводнения, потоп
(4) What words refer to two rivers coming together?|(4) Какие слова относятся к двум рекам ближайшие вместе?
branch, confluence, fork, tributary|филиал, слияние, вилка, приток
(5) What words refer to a part of a river that is steep?|(5) Какие слова относятся к части реки, которая является крутой?
waterfall, falls, rapids, cascade, cataract, spillway, race|водопад, падает, пороги, водопад, катаракта, водосброс, расы
(6) What are the parts of a river?|(6) Какие части реки?
source, head, headwaters, mouth, upstream, downstream, bend, whirlpool, eddy, river bottom, riverbed, backwater, narrows, oxbow|Источник, голова, истоки, рот, вверх по течению, вниз по течению, изгиб, джакузи, вихревые, дно реки, русло, заводь, сужает, стариц
(7) What words refer to a river when it has no water?|(7) Какие слова относятся к реке, когда не его имеет никакого воду?
watercourse, dry riverbed, wash, arroyo, wadi|водоток, сухой русло, стирка, Арройо, вади
(8) What words refer to a man-made river?|(8) Какие слова относятся к искусственной реки?
canal|канал
(9) What words refer to a place to cross a river?|(9) Какие слова относятся к месту, чтобы пересечь реку?
bridge, ford|мост, брод
(10) What words refer to something floating down a river or caught in it?|(10) Какие слова относятся к чему-то плывет по реке или застрять в ней?
flotsam, snag, logjam|плавающие обломки, загвоздка, затор
(11) What words refer to dirt, sand, and rocks washed down by a river?|(11) Какие слова относятся к грязи, песка, и камни, запивая по реке?
sandbar, delta, alluvium, alluvial, silt,|косы, дельта, наносы, аллювиальных, ил,
(12) What words refer to the area of land drained by a river?|(12) Какие слова относятся к области земли осушенных рекой?
watershed, basin|водораздел, бассейн
(13) What words refer to the movement of a river?|(13) Какой слова относятся к движению в реке?
current, flow|ток, поток
Spring, well|Весна, а
Use this domain for words referring to a place where water comes out of the ground.|Используйте этот домен для слов, относящихся к месту, где вода выходит из земли.
(1) What words refer to a place where water comes out of the ground?|(1) Какие слова относятся к месту, где вода выходит из земли?
spring, water source, water supply, well, artesian well, water hole, bore hole, fountain, fountainhead|весна, источник воды, водопровод, колодец, скважина, вода отверстия, скважина, фонтан, источник
(2) What words refer to water coming out of the ground?|(2) Какие слова относятся к воде, поступающей из-под земли?
spring up, well up, bubble up, flow out of|возникают, а вверх, пузыриться, вытекать из
Island, shore|Остров, берег
Use this domain for words referring to land in contrast with the sea or river.|Используйте этот домен для слов, относящихся к земле, в отличие от моря или реки.
land (and sea), dry land, mainland, continent, inland, interior, terrestrial|земли (и море), суша, материк, континент, внутри страны, интерьер, наземного
(2) What words refer to an island?|(2) То, что слова относятся к острову?
island, isle, islet, archipelago, atoll, key|остров, остров, островок, архипелаг, атолл, ключ
(3) What words are used of the edge of a lake or sea?|(3) Какие слова используются на краю озера или моря?
shore, beach, coast, coastal, coastland, seaboard, seashore, shoreline, foreshore, edge, strand, reef, coral reef, water-front, strip,|берег, пляж, побережье, прибрежный, приморье, побережье, побережье, береговая линия, береговой полосе, край, нить, риф, коралловый риф, вода фронта, полоса,
(4) What words refer to a bay?|(4) Какие слова относятся к бухте?
bay, gulf, cove, fjord, harbor, inlet, lagoon, sound, strait, port,|залив, залив, бухта, фьорд, гавань, бухта, залив, звук, пролив, порт,
(5) What words refer to a peninsula?|(5) Какие слова относятся к полуострове?
peninsula, promontory, cape|полуостров, мыс, мыс
(6) What words are used of the edge of a river?|(6) Что слова используются на краю реки?
bank, riverbank, levee, sandbar, embankment|банк, берег, дамба, косы, набережная
(7) What words describe something near water?|(7) Какие слова описывают то рядом с водой?
seaside, beachfront, lakeside, bordering|морское, побережье, озера, граничащая
(8) What words refer to a place where the water is shallow?|(8) Какие слова относятся к месту, где вода мелкая?
shallows, shoal,|отмели, мелководье,
Movement of water|Движение воды
Use this domain for words referring to the way in which water and other liquids move.|Используйте этот домен для слов, относящихся к тому, в котором вода и другие жидкости двигаться.
(1) What words refer to water moving into something?|(1) Какие слова относятся к воде, движущейся во что-то?
fill, flow in, inflow, infuse, infusion, run into|заполнить, течь в приток, настоять, настой, бегите в
(2) What words refer to water coming out of something?|(2) Какие слова относятся к воде, поступающей из чего-то?
spray, bleed, blow, burst, discharge, drain, gush, issue, jet, pour, pouring, run, spew, spout, dribble, drip, effusion, erupt, exude, ooze, outflow, percolate, seep, spout, squirt, sweat, vomit, tap|спрей, кровотечение, удар, взрыв, сброс, процедить, хлынет, вопрос, струя, залить, наливая, бегать, выбрасывают, носик, дриблинг, капельное, плеврит, ERUPT, источают, ил, отток, процедить, просачивается, носик, шприц, пот, рвота, нажмите
(3) What words refer to water breaking into drops?|(3) Какие слова относятся к воде нарушения в капли?
splash, spray|всплеск, брызги
(4) What words refer to water forming bubbles?|(4) Какие слова относятся к воде формирования пузырьков?
bubble, foam, foaming, froth, whip|пузырь, пена, пены, пена, кнут
Flow|Поток
Use this domain for words referring to the way water moves over a surface, such as in a river or along the ground.|Используйте этот домен для слов, относящихся к так вода движется над поверхностью, например, в реке или по земле.
(1) What words refer to water moving over a surface?|(1) Какие слова относятся к воде движется над поверхностью?
flow, run, stream, current, rise, fall, flood, overflow, to wind, meander, erode, split, merge, roil, surge, torrent, trickle, effluence, spread, permeate,|поток, запустить поток, текущий, рост, падение, наводнения, переполнение, ветра, меандр, разрушать, разделять, объединять, мутить, всплеск, торрент, ручеек, истечение, распространение, пронизывают,
(2) What words refer to water moving in a river?|(2) Какие слова относятся к воде движется в реке?
flow, current, whirlpool|поток, текущий, джакузи
(3) What words refer to water washing away dirt?|(3) Какие слова относятся к воде вымывания грязи?
erosion, erode, eroded, wash away, silt, silt up, deposit, settle|эрозии, эрозии, эрозия, смыть, ил, илом, депозит, урегулировать
(4) What words refer to water draining out of something?|(4) Какие слова относятся к слива воды из чего-то?
drain, bleed, discharge, draw off, empty, leak, ooze, strain,|слить, кровь, выделения, оттянуть, пустой, утечка, ил, деформация,
Pour|Лить
Use this domain for words referring to water coming out of something (such as a container), or causing water to come out of something.|Используйте этот домен для слов, относящихся к воде выходит что-то (например, контейнер), или вызывающих воду, чтобы выйти из чего-то.
(1) What words refer to water coming out of something?|(1) Какие слова относятся к воде, поступающей из чего-то?
pour, come out, flow, drip, leak, ooze, gush, spurt, squirt|налить, выйти, поток, капельное, утечки, сочиться, Гуш, рывок, шприц
(2) What words refer to pouring water out of a container?|(2) То, что слова относятся к наливая воду из контейнера?
pour, tip, sprinkle, empty, spill, decant|налить, наконечник, посыпать, пустой, разлив, переливать
(3) What words refer to putting water on something?|(3) Какие слова относятся к успеху воду на что-то?
water (v), add water, put water on,|вода (v), добавить воду, поставить воду на,
(4) What words refer to putting drops of water on something?|(4) Какие слова относятся к успеху капель воды на что-то?
sprinkle (with water), splash (water on), spray (water on), drizzle, spatter, splatter, squirt,|посыпать (с водой), всплеск (воды на), спрей (воды на), мороси, брызг, брызги, шприц,
(5) What words refer to putting lots of water on something?|(5) Какие слова относятся к успеху много воды на что-то?
pour (out), empty (v), dump (out), douse, drench, pump,|залить (выход), пустым (v), самосвалы (выход), обдать орошение, насос,
(6) What words refer to putting water on something accidentally?|(6) Какие слова относятся к успеху воду на то случайно?
spill|проливать
(7) What words refer to putting water into something?|(7) Какие слова относятся к успеху воду в чем-то?
inject,|вводить,
Drip|Капельный
Use this domain for words referring to drops of water and what they do.|Используйте этот домен для слов, относящихся к каплям воды и что они делают.
(1) What is a drop of water called?|(1) Что такое капля воды называется?
drop (of water/blood), droplet, a drip|падение (вода / крови), капли, капель
(2) What do drops of water do?|(2) Что капли воды сделать?
drip, drip on, fall to the ground, splash on, hit, splatter, sprinkle|капельно, капать на, падают на землю, всплеск на, удар, брызги, посыпать
(3) What is a steady dripping called?|(3) Что устойчивый капает называется?
dripping (of water), steady drip, drip-drip (of water)|капает (воды), устойчивое капельного, кап-кап (воды)
Wave|Волна
Use this domain for words related to waves and what they do.|Используйте этот домен для слов, связанных с волнами и что они делают.
(1) What types of waves are there?|(1) Какие типы волн есть?
wave, ripple, swell, breaker, billow, surf, tidal wave, tsunami|волна, рябь, зыбь, выключатель, вал, серфинг, приливная волна, цунами
(2) What are the parts of a wave?|(2) Каковы части волны?
crest, trough, curl, foam|гребень, корыто, локон, пена
(3) What words describe the movement of a wave?|(3) Какие слова описывают движение волны?
surge, move, come roaring down on, race before the wind, wave pattern, violence of the waves, undertow, toss|всплеск, движение, с грохотом вниз на, расы, прежде чем ветер, волна шаблон, насилия волн, откат, бросьте
(4) What do waves do when they hit the shore?|(4) Что делать, когда волны бьют о берег?
hit the shore, break on the shore/rocks, break against, break over, crash against, crash down on, lap against, wash against the shore, gentle wash of the waves|ударяются о берег, разбиваются о берег / пород, разбиваются, перерыв закончился, крушение, авария против свысока, круг против, мыть на берег, бережная стирка волн
(5) What words describe a wave getting bigger?|(5) Какие слова описывают волну становится все больше?
swell, mount up, pile up, rise and fall, curl|набухают, подняться, накапливаются, взлеты и падения, завиток
(6) What do waves do to things?|(6) Что делать, чтобы волны вещей?
wash up on shore, wash out to sea, wash away, erode, wear away, lift, rise and fall with the waves, rock|мыть на берег, промыть в море, смыть, разрушать, стирать, лифт, подниматься и опускаться с волнами, рок
(7) What do people do with waves?|(7) Что делают люди с волнами?
surf, surfboard, ride the waves, dive under|серфинг, доски для серфинга, ездить волн, погружение под
(8) What sounds do waves make?|(8) Какие звуки волны делают?
crash, roar, thunder, thunderous roar, slap|аварии, грохот, гром, гром рев, пощечина
Calm, rough|Спокойный, грубая
Use this domain for words describing the surface of water.|Используйте этот домен для слов, описывающих поверхность воды.
(1) What words describe the surface of the water when it is calm?|(1) Что слова описывают поверхность воды, когда она спокойна?
calm, becalmed, quiet, peaceful, tranquil, hardly a ripple, glassy, still, stagnant|спокойный, штиль, тихое, спокойное, тихое, едва рябь, стеклянные, тем не менее, стагнация
(2) What words describe the surface of the water when it is rough?|(2) Какие слова описывают поверхность воды, когда это грубо?
rough (seas), storm-tossed (sea), raging (sea), seethe, choppy|грубые (моря), шторм-бросил (морские), бушует (море), бурлить, порывистый
(3) What words describe the flow of a river when it is slow?|(3) Какие слова описывают поток реки, когда он медленно?
slow moving, sluggish, smooth stretch, gentle stretch|тихоходных, вялым, гладкая стрейч, стретч нежный
(4) What words describe the flow of a river when it is fast?|(4) Какие слова описывают поток в реке, когда это быстро?
fast-flowing, white-water (rapids), raging rapids, rough water|быстрым течением, белой воды (пороги), бушующие пороги, бурная вода
(5) What words refer to making water rough?|(5) Какие слова относятся к созданию воды грубо?
agitate, churn, stir, whip|Перемешайте, маслобойки, перемешать, кнут
Tide|Волна
Use this domain for words related to the tide.|Используйте этот домен для слов, связанных с приливом.
(1) What words refer to the tide?|(1) Какие слова относятся к прилива?
tide, rising tide, ebb tide, storm tide, high tide, low tide, the tide is in/out, neap tide|прилив, прилив, отлив, прилив, штормовой прилив, отлив, прилив в / из, квадратурный прилив
(2) What does the tide do?|(2) Что прилив делать?
rise, fall, ebb, come in, go out|рост, падение, отлив, входите, выходят
(3) What words refer to the area along the shore that the tide covers?|(3) Какие слова относятся к области вдоль берега, что прилив крышки?
tidal flat|осыхающая отмель
Wet|Мокрый
Use this domain for words referring to when something has water on it or water has soaked into it.|Используйте этот домен для слов, относящихся к тому, когда что-то есть вода на нем или вода впиталась в него.
(1) What words describe something that is wet?|(1) Какие слова описывают то, что мокрая?
wet, dank, watery, aqueous, sludgy, slush, slushy, sloppy, sweaty|влажный, промозглый, водянистый, водный, грязный, слякоть, мокрый, небрежный, потный
(2) What words describe something that is very wet?|(2) Какие слова описывают то, что очень влажный?
soaked, soaking wet, sopping wet, wringing wet, awash, dripping, sodden, soggy, saturated, waterlogged, be swimming in, drenched, doused|пропитанные, мокрый, мокрый насквозь, ломая мокрый, купается, капает, варилась, сырой, насыщенный, заболоченная, плавать в, залитой, облили
(3) What words describe something that is slightly wet?|(3) Какие слова описывают то, что слегка влажной?
moist, damp, a little wet, clammy, dewy|влажная, сыро, немного влажным, липким, влажный
(4) What words describe the ground when it is wet?|(4) Какие слова описывают землю, когда она мокрая?
muddy, boggy, marshy, swampy|мутная, болотистая, болотистая, болотистая
(5) What words describe the air when there is water in it?|(5) Какие слова описывают воздух, когда есть вода в нем?
humid, moist, muggy, steamy, tropical|влажный, влажный, душный, парной, тропическим
(6) What words describe plants when there is water in them?|(6) Какие слова описывают растения, когда есть вода в них?
green, juicy, succulent|зеленый, сочный, сочный
(7) What words refer to something becoming wet?|(7) Какие слова относятся к чему-то становится влажной?
get wet, get soaked, bedew|промокнуть, промокнуть, запотели
(8) What words refer to making something wet?|(8) Какие слова относятся к делать что-то мокрое?
wet, get something wet, splash, anoint, dabble, daub, douse, spatter, spray, sprinkle|влажный, получить что-то мокрое, заставки, помажь, плескаться, мазня, обдать, брызг, брызги, посыпать
(9) What words refer to making something very wet?|(9) Какие слова относятся к делать что-то очень влажный?
soak, drench, saturate, flood, swamp, deluge|замочить, замочить, насытить, наводнение, болото, хоть потоп
(10) What words refer to making something slightly wet?|(10) Какие слова относятся к делать что-то немного влажный?
dampen, moisten, lick|смочить, смочите, лизать
(11) What words refer to something soaking up water?|(11) Какие слова относятся к то впитывая воду?
absorb, blot, daub, soak up, sponge, sop, mop up, wipe up|поглощают, промокните, мазня, понежиться, губки, SOP, зачистить, вытереть
(12) What words describe something that can soak up water?|(12) Какие слова описывают то, что может впитать воду?
absorbent, porous|абсорбент, пористая
Dry|Сухой
Use this domain for words describing something that is dry.|Используйте этот домен для слов, описывающих то, что сухое.
(1) What words describe something that is dry?|(1) Какие слова описывают то, что сухое?
dry (adj), dry as a bone, bone-dry, arid, waterless, parched, dehydrated, desiccated, dried, evaporated, sere, withered|сухой (прил), сухой, как кость, кости сухой, засушливой, безводной, пересохло, обезвоженной, высушенной, сушат, упаривают, сэрэ, засохло
(2) What words describe the ground when it is dry?|(2) То, что слова описывают землю, когда она высохнет?
dry, dusty, thirsty,|сухой, пыльный, пить,
(3) What words describe the air when there is no water in it?|(3) Какие слова описывают воздух, когда нет воды в нем?
drought|засуха
(4) What words refer to something becoming dry?|(4) Какие слова относятся к чему-то становится сухой?
