Universe, creation|宇宙、作成
(6) What words describe where the moon is shining?|（8）太陽が輝いている場所を記述何語？
moonlit, be in the moonlight, lit by the moon, shine on,|（8）太陽が輝いている場所を記述何語？
(7) What words describe when or where the moon doesn't shine?|（8）太陽が輝いている場所を記述何語？
moonless night, eclipse of the moon, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the light of the moon?|（8）太陽が輝いている場所を記述何語？
moonlight, moonbeam, moonshine,|（8）太陽が輝いている場所を記述何語？
(9) What words describe the brightness of the moon?|（8）太陽が輝いている場所を記述何語？
bright, pale,|（8）太陽が輝いている場所を記述何語？
(10) What words describe the appearance of the moon?|（8）太陽が輝いている場所を記述何語？
man in the moon, harvest moon|（8）太陽が輝いている場所を記述何語？
(11) What words refer to the spots on the moon?|（8）太陽が輝いている場所を記述何語？
lunar sea, crater,|（8）太陽が輝いている場所を記述何語？
(12) What words refer to the phases of the moon?|（8）太陽が輝いている場所を記述何語？
phase, new moon, full moon, half moon, quarter moon, crescent, sliver, moon is waxing (getting bigger), moon is waning (getting smaller), wax and wane|（8）太陽が輝いている場所を記述何語？
(13) What words refer to the time it takes for the moon to go through its phases?|（8）太陽が輝いている場所を記述何語？
(lunar) month|（8）太陽が輝いている場所を記述何語？
Star|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the stars and other heavenly bodies.|（8）太陽が輝いている場所を記述何語？
(1) What words are used to refer to the stars?|（8）太陽が輝いている場所を記述何語？
star, starry, stellar|（8）太陽が輝いている場所を記述何語？
(2) What words describe the sky when the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit (sky), (sky is) ablaze with stars, starry (sky), star studded (sky), stars are shining|（8）太陽が輝いている場所を記述何語？
(3) What words are used for where the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit, lit by the stars|（8）太陽が輝いている場所を記述何語？
(4) What words are used for when or where the stars don't shine?|（8）太陽が輝いている場所を記述何語？
starless (sky, night)|（8）太陽が輝いている場所を記述何語？
(5) What words refer to the light of the stars?|（8）太陽が輝いている場所を記述何語？
starlight|（8）太陽が輝いている場所を記述何語？
(6) What words describe the brightness of the stars?|（8）太陽が輝いている場所を記述何語？
bright, brilliant, dim, luminous|（8）太陽が輝いている場所を記述何語？
(7) What words describe the appearance of the stars?|（8）太陽が輝いている場所を記述何語？
twinkle, wink, glittering, star shaped|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the study of the stars?|（8）太陽が輝いている場所を記述何語？
astronomy, astronomer, astrology, astrologer, stargazer, magi|（8）太陽が輝いている場所を記述何語？
(9) What is a group of stars called?|（8）太陽が輝いている場所を記述何語？
constellation, galaxy, nebula|（8）太陽が輝いている場所を記述何語？
Planet|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to planets (large objects that circle the sun, looking like bright wandering stars in the sky), comets (objects that circle the sun, looking like a star with a tail), meteors (small objects that come from space and burn up when they hit the earth's atmosphere, causing a streak of light across the sky), and asteroids (small objects that circle the sun), planetary moons (large objects that circle the planets). Some cultures do not study the stars and will have few or no words in this domain. Others cultures that study the stars will have many words. There are only five planets that people can see in the sky--Mercury, Venus, Mars, Jupiter, and Saturn. The others are only known from the scientific study of astronomy.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to a planet?|（8）太陽が輝いている場所を記述何語？
planet, planetary, wandering star|（8）太陽が輝いている場所を記述何語？
(2) What are the names of the planets?|（8）太陽が輝いている場所を記述何語？
Mercury, Venus (Morning Star, Evening Star), Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto|（8）太陽が輝いている場所を記述何語？
(3) What words refer to how the planets move?|（8）太陽が輝いている場所を記述何語？
revolve (around the sun), orbit,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the sun and planets?|（8）太陽が輝いている場所を記述何語？
solar system|（8）太陽が輝いている場所を記述何語？
(5) What words refer to comets?|（8）太陽が輝いている場所を記述何語？
comet, tail, head|（8）太陽が輝いている場所を記述何語？
(6) What do comets do?|（8）太陽が輝いている場所を記述何語？
appear, point, fade|（8）太陽が輝いている場所を記述何語？
(7) What words refer to meteors?|（8）太陽が輝いている場所を記述何語？
meteor, shooting star, falling star, meteor trail, meteor shower|（8）太陽が輝いている場所を記述何語？
